,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANG_9_NAME,OBS_VALUE
110,2021,W02000012,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7961
111,2021,W02000012,2021 super output areas - middle layer,152,Can understand spoken Welsh only,606
112,2021,W02000012,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4791
113,2021,W02000012,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,464
114,2021,W02000012,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,278
115,2021,W02000012,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,98
116,2021,W02000012,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,24
117,2021,W02000012,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,65
118,2021,W02000012,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,75
119,2021,W02000012,2021 super output areas - middle layer,152,No skills in Welsh,1560
120,2021,W02000013,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6238
121,2021,W02000013,2021 super output areas - middle layer,152,Can understand spoken Welsh only,377
122,2021,W02000013,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4158
123,2021,W02000013,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,350
124,2021,W02000013,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,194
125,2021,W02000013,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,44
126,2021,W02000013,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,23
127,2021,W02000013,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,76
128,2021,W02000013,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,69
129,2021,W02000013,2021 super output areas - middle layer,152,No skills in Welsh,947
130,2021,W02000014,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6563
131,2021,W02000014,2021 super output areas - middle layer,152,Can understand spoken Welsh only,518
132,2021,W02000014,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3820
133,2021,W02000014,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,401
134,2021,W02000014,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,184
135,2021,W02000014,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,82
136,2021,W02000014,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,28
137,2021,W02000014,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,75
138,2021,W02000014,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,55
139,2021,W02000014,2021 super output areas - middle layer,152,No skills in Welsh,1400
140,2021,W02000015,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8178
141,2021,W02000015,2021 super output areas - middle layer,152,Can understand spoken Welsh only,494
142,2021,W02000015,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",5762
143,2021,W02000015,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,614
144,2021,W02000015,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,239
145,2021,W02000015,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,43
146,2021,W02000015,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,46
147,2021,W02000015,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,104
148,2021,W02000015,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,120
149,2021,W02000015,2021 super output areas - middle layer,152,No skills in Welsh,756
150,2021,W02000016,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6181
151,2021,W02000016,2021 super output areas - middle layer,152,Can understand spoken Welsh only,339
152,2021,W02000016,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4214
153,2021,W02000016,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,348
154,2021,W02000016,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,198
155,2021,W02000016,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,42
156,2021,W02000016,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,20
157,2021,W02000016,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,61
158,2021,W02000016,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,67
159,2021,W02000016,2021 super output areas - middle layer,152,No skills in Welsh,892
160,2021,W02000017,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7353
161,2021,W02000017,2021 super output areas - middle layer,152,Can understand spoken Welsh only,418
162,2021,W02000017,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4850
163,2021,W02000017,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,366
164,2021,W02000017,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,205
165,2021,W02000017,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,73
166,2021,W02000017,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,26
167,2021,W02000017,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,74
168,2021,W02000017,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,90
169,2021,W02000017,2021 super output areas - middle layer,152,No skills in Welsh,1251
170,2021,W02000018,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5884
171,2021,W02000018,2021 super output areas - middle layer,152,Can understand spoken Welsh only,265
172,2021,W02000018,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3834
173,2021,W02000018,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,305
174,2021,W02000018,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,166
175,2021,W02000018,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,59
176,2021,W02000018,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,31
177,2021,W02000018,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,71
178,2021,W02000018,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,72
179,2021,W02000018,2021 super output areas - middle layer,152,No skills in Welsh,1081
180,2021,W02000019,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6506
181,2021,W02000019,2021 super output areas - middle layer,152,Can understand spoken Welsh only,420
182,2021,W02000019,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3779
183,2021,W02000019,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,365
184,2021,W02000019,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,154
185,2021,W02000019,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,59
186,2021,W02000019,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,17
187,2021,W02000019,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,53
188,2021,W02000019,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,55
189,2021,W02000019,2021 super output areas - middle layer,152,No skills in Welsh,1604
190,2021,W02000020,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6315
191,2021,W02000020,2021 super output areas - middle layer,152,Can understand spoken Welsh only,360
192,2021,W02000020,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3879
193,2021,W02000020,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,296
194,2021,W02000020,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,177
195,2021,W02000020,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,49
196,2021,W02000020,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,36
197,2021,W02000020,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,69
198,2021,W02000020,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,84
199,2021,W02000020,2021 super output areas - middle layer,152,No skills in Welsh,1365
200,2021,W02000021,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7559
201,2021,W02000021,2021 super output areas - middle layer,152,Can understand spoken Welsh only,450
202,2021,W02000021,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",5017
203,2021,W02000021,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,340
204,2021,W02000021,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,178
205,2021,W02000021,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,46
206,2021,W02000021,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,28
207,2021,W02000021,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,52
208,2021,W02000021,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,66
209,2021,W02000021,2021 super output areas - middle layer,152,No skills in Welsh,1382
210,2021,W02000022,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5437
211,2021,W02000022,2021 super output areas - middle layer,152,Can understand spoken Welsh only,402
212,2021,W02000022,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2625
213,2021,W02000022,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,276
214,2021,W02000022,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,117
215,2021,W02000022,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,48
216,2021,W02000022,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,12
217,2021,W02000022,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,33
218,2021,W02000022,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,31
219,2021,W02000022,2021 super output areas - middle layer,152,No skills in Welsh,1893
220,2021,W02000023,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5165
221,2021,W02000023,2021 super output areas - middle layer,152,Can understand spoken Welsh only,296
222,2021,W02000023,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3187
223,2021,W02000023,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,191
224,2021,W02000023,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,78
225,2021,W02000023,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,36
226,2021,W02000023,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,13
227,2021,W02000023,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,12
228,2021,W02000023,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,14
229,2021,W02000023,2021 super output areas - middle layer,152,No skills in Welsh,1338
230,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5558
231,2021,W02000024,2021 super output areas - middle layer,152,Can understand spoken Welsh only,289
232,2021,W02000024,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3337
233,2021,W02000024,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,266
234,2021,W02000024,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,128
235,2021,W02000024,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,67
236,2021,W02000024,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,10
237,2021,W02000024,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,24
238,2021,W02000024,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,36
239,2021,W02000024,2021 super output areas - middle layer,152,No skills in Welsh,1401
240,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5996
241,2021,W02000025,2021 super output areas - middle layer,152,Can understand spoken Welsh only,549
242,2021,W02000025,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2649
243,2021,W02000025,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,348
244,2021,W02000025,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,203
245,2021,W02000025,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,86
246,2021,W02000025,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,13
247,2021,W02000025,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,51
248,2021,W02000025,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,35
249,2021,W02000025,2021 super output areas - middle layer,152,No skills in Welsh,2062
250,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6855
251,2021,W02000026,2021 super output areas - middle layer,152,Can understand spoken Welsh only,598
252,2021,W02000026,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",2167
253,2021,W02000026,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,355
254,2021,W02000026,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,183
255,2021,W02000026,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,85
256,2021,W02000026,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,14
257,2021,W02000026,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,46
258,2021,W02000026,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,41
259,2021,W02000026,2021 super output areas - middle layer,152,No skills in Welsh,3366
260,2021,W02000027,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8264
261,2021,W02000027,2021 super output areas - middle layer,152,Can understand spoken Welsh only,765
262,2021,W02000027,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",1021
263,2021,W02000027,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,211
264,2021,W02000027,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,96
265,2021,W02000027,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,154
266,2021,W02000027,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,15
267,2021,W02000027,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,61
268,2021,W02000027,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,13
269,2021,W02000027,2021 super output areas - middle layer,152,No skills in Welsh,5928
270,2021,W02000028,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6544
271,2021,W02000028,2021 super output areas - middle layer,152,Can understand spoken Welsh only,647
272,2021,W02000028,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",912
273,2021,W02000028,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,194
274,2021,W02000028,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,106
275,2021,W02000028,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,129
276,2021,W02000028,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,12
277,2021,W02000028,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,64
278,2021,W02000028,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,14
279,2021,W02000028,2021 super output areas - middle layer,152,No skills in Welsh,4466
280,2021,W02000029,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5853
281,2021,W02000029,2021 super output areas - middle layer,152,Can understand spoken Welsh only,582
282,2021,W02000029,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",885
283,2021,W02000029,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,196
284,2021,W02000029,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,110
285,2021,W02000029,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,109
286,2021,W02000029,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,11
287,2021,W02000029,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,55
288,2021,W02000029,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,19
289,2021,W02000029,2021 super output areas - middle layer,152,No skills in Welsh,3886
290,2021,W02000030,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5761
291,2021,W02000030,2021 super output areas - middle layer,152,Can understand spoken Welsh only,505
292,2021,W02000030,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",687
293,2021,W02000030,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,179
294,2021,W02000030,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,96
295,2021,W02000030,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,104
296,2021,W02000030,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,13
297,2021,W02000030,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,45
298,2021,W02000030,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,14
299,2021,W02000030,2021 super output areas - middle layer,152,No skills in Welsh,4118
300,2021,W02000031,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7988
301,2021,W02000031,2021 super output areas - middle layer,152,Can understand spoken Welsh only,429
302,2021,W02000031,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",668
303,2021,W02000031,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,129
304,2021,W02000031,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,78
305,2021,W02000031,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,78
306,2021,W02000031,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,12
307,2021,W02000031,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,39
308,2021,W02000031,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,19
309,2021,W02000031,2021 super output areas - middle layer,152,No skills in Welsh,6536
310,2021,W02000032,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8180
311,2021,W02000032,2021 super output areas - middle layer,152,Can understand spoken Welsh only,986
312,2021,W02000032,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",1490
313,2021,W02000032,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,314
314,2021,W02000032,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,163
315,2021,W02000032,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,165
316,2021,W02000032,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,5
317,2021,W02000032,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,61
318,2021,W02000032,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,20
319,2021,W02000032,2021 super output areas - middle layer,152,No skills in Welsh,4976
320,2021,W02000033,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6731
321,2021,W02000033,2021 super output areas - middle layer,152,Can understand spoken Welsh only,596
322,2021,W02000033,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",959
323,2021,W02000033,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,190
