,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
108,2021,W02000037,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6945
109,2021,W02000037,2021 super output areas - middle layer,152,Cannot speak Welsh,5036
110,2021,W02000037,2021 super output areas - middle layer,152,Can speak Welsh,1909
111,2021,W02000038,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6070
112,2021,W02000038,2021 super output areas - middle layer,152,Cannot speak Welsh,4179
113,2021,W02000038,2021 super output areas - middle layer,152,Can speak Welsh,1891
114,2021,W02000039,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7619
115,2021,W02000039,2021 super output areas - middle layer,152,Cannot speak Welsh,4771
116,2021,W02000039,2021 super output areas - middle layer,152,Can speak Welsh,2848
117,2021,W02000040,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6435
118,2021,W02000040,2021 super output areas - middle layer,152,Cannot speak Welsh,2851
119,2021,W02000040,2021 super output areas - middle layer,152,Can speak Welsh,3584
120,2021,W02000041,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8302
121,2021,W02000041,2021 super output areas - middle layer,152,Cannot speak Welsh,3790
122,2021,W02000041,2021 super output areas - middle layer,152,Can speak Welsh,4512
123,2021,W02000042,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5705
124,2021,W02000042,2021 super output areas - middle layer,152,Cannot speak Welsh,5001
125,2021,W02000042,2021 super output areas - middle layer,152,Can speak Welsh,704
126,2021,W02000043,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5096
127,2021,W02000043,2021 super output areas - middle layer,152,Cannot speak Welsh,4349
128,2021,W02000043,2021 super output areas - middle layer,152,Can speak Welsh,747
129,2021,W02000044,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5186
130,2021,W02000044,2021 super output areas - middle layer,152,Cannot speak Welsh,4347
131,2021,W02000044,2021 super output areas - middle layer,152,Can speak Welsh,839
132,2021,W02000045,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9227
133,2021,W02000045,2021 super output areas - middle layer,152,Cannot speak Welsh,8211
134,2021,W02000045,2021 super output areas - middle layer,152,Can speak Welsh,1016
135,2021,W02000047,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5340
136,2021,W02000047,2021 super output areas - middle layer,152,Cannot speak Welsh,4709
137,2021,W02000047,2021 super output areas - middle layer,152,Can speak Welsh,631
138,2021,W02000049,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6471
139,2021,W02000049,2021 super output areas - middle layer,152,Cannot speak Welsh,5239
140,2021,W02000049,2021 super output areas - middle layer,152,Can speak Welsh,1232
141,2021,W02000050,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6223
142,2021,W02000050,2021 super output areas - middle layer,152,Cannot speak Welsh,5144
143,2021,W02000050,2021 super output areas - middle layer,152,Can speak Welsh,1079
144,2021,W02000051,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5176
145,2021,W02000051,2021 super output areas - middle layer,152,Cannot speak Welsh,3965
146,2021,W02000051,2021 super output areas - middle layer,152,Can speak Welsh,1211
147,2021,W02000052,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4834
148,2021,W02000052,2021 super output areas - middle layer,152,Cannot speak Welsh,3485
149,2021,W02000052,2021 super output areas - middle layer,152,Can speak Welsh,1349
150,2021,W02000053,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6180
151,2021,W02000053,2021 super output areas - middle layer,152,Cannot speak Welsh,3638
152,2021,W02000053,2021 super output areas - middle layer,152,Can speak Welsh,2542
153,2021,W02000054,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5983
154,2021,W02000054,2021 super output areas - middle layer,152,Cannot speak Welsh,4235
155,2021,W02000054,2021 super output areas - middle layer,152,Can speak Welsh,1748
156,2021,W02000055,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5523
157,2021,W02000055,2021 super output areas - middle layer,152,Cannot speak Welsh,3433
158,2021,W02000055,2021 super output areas - middle layer,152,Can speak Welsh,2090
159,2021,W02000056,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5060
160,2021,W02000056,2021 super output areas - middle layer,152,Cannot speak Welsh,2809
161,2021,W02000056,2021 super output areas - middle layer,152,Can speak Welsh,2251
162,2021,W02000057,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6083
163,2021,W02000057,2021 super output areas - middle layer,152,Cannot speak Welsh,4249
164,2021,W02000057,2021 super output areas - middle layer,152,Can speak Welsh,1834
165,2021,W02000419,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10976
166,2021,W02000419,2021 super output areas - middle layer,152,Cannot speak Welsh,9302
167,2021,W02000419,2021 super output areas - middle layer,152,Can speak Welsh,1674
168,2021,W02000058,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,4983
169,2021,W02000058,2021 super output areas - middle layer,152,Cannot speak Welsh,4130
170,2021,W02000058,2021 super output areas - middle layer,152,Can speak Welsh,853
171,2021,W02000059,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6382
172,2021,W02000059,2021 super output areas - middle layer,152,Cannot speak Welsh,5362
173,2021,W02000059,2021 super output areas - middle layer,152,Can speak Welsh,1020
174,2021,W02000060,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10387
175,2021,W02000060,2021 super output areas - middle layer,152,Cannot speak Welsh,9162
176,2021,W02000060,2021 super output areas - middle layer,152,Can speak Welsh,1225
177,2021,W02000061,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7330
178,2021,W02000061,2021 super output areas - middle layer,152,Cannot speak Welsh,6537
179,2021,W02000061,2021 super output areas - middle layer,152,Can speak Welsh,793
180,2021,W02000062,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5946
181,2021,W02000062,2021 super output areas - middle layer,152,Cannot speak Welsh,5241
182,2021,W02000062,2021 super output areas - middle layer,152,Can speak Welsh,705
183,2021,W02000063,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7941
184,2021,W02000063,2021 super output areas - middle layer,152,Cannot speak Welsh,6575
185,2021,W02000063,2021 super output areas - middle layer,152,Can speak Welsh,1366
186,2021,W02000064,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5912
187,2021,W02000064,2021 super output areas - middle layer,152,Cannot speak Welsh,5472
188,2021,W02000064,2021 super output areas - middle layer,152,Can speak Welsh,440
189,2021,W02000065,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7037
190,2021,W02000065,2021 super output areas - middle layer,152,Cannot speak Welsh,6455
191,2021,W02000065,2021 super output areas - middle layer,152,Can speak Welsh,582
192,2021,W02000066,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9518
193,2021,W02000066,2021 super output areas - middle layer,152,Cannot speak Welsh,8800
194,2021,W02000066,2021 super output areas - middle layer,152,Can speak Welsh,718
195,2021,W02000067,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6637
196,2021,W02000067,2021 super output areas - middle layer,152,Cannot speak Welsh,6014
197,2021,W02000067,2021 super output areas - middle layer,152,Can speak Welsh,623
198,2021,W02000068,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5067
199,2021,W02000068,2021 super output areas - middle layer,152,Cannot speak Welsh,4720
200,2021,W02000068,2021 super output areas - middle layer,152,Can speak Welsh,347
201,2021,W02000069,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6117
202,2021,W02000069,2021 super output areas - middle layer,152,Cannot speak Welsh,5355
203,2021,W02000069,2021 super output areas - middle layer,152,Can speak Welsh,762
204,2021,W02000070,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10398
205,2021,W02000070,2021 super output areas - middle layer,152,Cannot speak Welsh,9375
206,2021,W02000070,2021 super output areas - middle layer,152,Can speak Welsh,1023
207,2021,W02000071,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6883
208,2021,W02000071,2021 super output areas - middle layer,152,Cannot speak Welsh,6009
209,2021,W02000071,2021 super output areas - middle layer,152,Can speak Welsh,874
210,2021,W02000072,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,11310
211,2021,W02000072,2021 super output areas - middle layer,152,Cannot speak Welsh,10538
212,2021,W02000072,2021 super output areas - middle layer,152,Can speak Welsh,772
213,2021,W02000073,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9878
214,2021,W02000073,2021 super output areas - middle layer,152,Cannot speak Welsh,8062
215,2021,W02000073,2021 super output areas - middle layer,152,Can speak Welsh,1816
216,2021,W02000074,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9550
217,2021,W02000074,2021 super output areas - middle layer,152,Cannot speak Welsh,8596
218,2021,W02000074,2021 super output areas - middle layer,152,Can speak Welsh,954
219,2021,W02000075,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6218
220,2021,W02000075,2021 super output areas - middle layer,152,Cannot speak Welsh,5523
221,2021,W02000075,2021 super output areas - middle layer,152,Can speak Welsh,695
222,2021,W02000076,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7145
223,2021,W02000076,2021 super output areas - middle layer,152,Cannot speak Welsh,6029
224,2021,W02000076,2021 super output areas - middle layer,152,Can speak Welsh,1116
225,2021,W02000077,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5923
226,2021,W02000077,2021 super output areas - middle layer,152,Cannot speak Welsh,5180
227,2021,W02000077,2021 super output areas - middle layer,152,Can speak Welsh,743
228,2021,W02000080,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7630
229,2021,W02000080,2021 super output areas - middle layer,152,Cannot speak Welsh,6726
230,2021,W02000080,2021 super output areas - middle layer,152,Can speak Welsh,904
231,2021,W02000081,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5723
232,2021,W02000081,2021 super output areas - middle layer,152,Cannot speak Welsh,4981
233,2021,W02000081,2021 super output areas - middle layer,152,Can speak Welsh,742
