,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
116,2021,E02001330,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,29
117,2021,E02001330,2021 super output areas - middle layer,152,Resident,25
118,2021,E02001330,2021 super output areas - middle layer,152,Resident:Male,4
119,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
120,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
121,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
122,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
123,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
124,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
125,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,4
126,2021,E02001330,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
127,2021,E02001330,2021 super output areas - middle layer,152,Resident:Female,21
128,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
129,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,3
130,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,7
131,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
132,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,2
133,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,2
134,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,1
135,2021,E02001330,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,6
136,2021,E02001330,2021 super output areas - middle layer,152,Staff or owner,0
137,2021,E02001330,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
138,2021,E02001330,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),4
139,2021,E02001331,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,2
140,2021,E02001331,2021 super output areas - middle layer,152,Resident,2
141,2021,E02001331,2021 super output areas - middle layer,152,Resident:Male,2
142,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
143,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,1
144,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,1
145,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
146,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
147,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
148,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
149,2021,E02001331,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
150,2021,E02001331,2021 super output areas - middle layer,152,Resident:Female,0
151,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
152,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
153,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
154,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
155,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
156,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
157,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
158,2021,E02001331,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
159,2021,E02001331,2021 super output areas - middle layer,152,Staff or owner,0
160,2021,E02001331,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
161,2021,E02001331,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
162,2021,E02001332,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,23
163,2021,E02001332,2021 super output areas - middle layer,152,Resident,20
164,2021,E02001332,2021 super output areas - middle layer,152,Resident:Male,2
165,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
166,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
167,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
168,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
169,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
170,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
171,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,1
172,2021,E02001332,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,1
173,2021,E02001332,2021 super output areas - middle layer,152,Resident:Female,18
174,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
175,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
176,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
177,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
178,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
179,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,2
180,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,7
181,2021,E02001332,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,9
182,2021,E02001332,2021 super output areas - middle layer,152,Staff or owner,3
183,2021,E02001332,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
184,2021,E02001332,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
185,2021,E02001333,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,87
186,2021,E02001333,2021 super output areas - middle layer,152,Resident,87
187,2021,E02001333,2021 super output areas - middle layer,152,Resident:Male,28
188,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,2
189,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
190,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
191,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
192,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,5
193,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,4
194,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,9
195,2021,E02001333,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,8
196,2021,E02001333,2021 super output areas - middle layer,152,Resident:Female,59
197,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,3
198,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,1
199,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,2
200,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
201,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,4
202,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,6
203,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,15
204,2021,E02001333,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,28
205,2021,E02001333,2021 super output areas - middle layer,152,Staff or owner,0
206,2021,E02001333,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
207,2021,E02001333,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
208,2021,E02001334,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,0
209,2021,E02001334,2021 super output areas - middle layer,152,Resident,0
210,2021,E02001334,2021 super output areas - middle layer,152,Resident:Male,0
211,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
212,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
213,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
214,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
215,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
216,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
217,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
218,2021,E02001334,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
219,2021,E02001334,2021 super output areas - middle layer,152,Resident:Female,0
220,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
221,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
222,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
223,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
224,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
225,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
226,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
227,2021,E02001334,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
228,2021,E02001334,2021 super output areas - middle layer,152,Staff or owner,0
229,2021,E02001334,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
230,2021,E02001334,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
231,2021,E02001335,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,71
232,2021,E02001335,2021 super output areas - middle layer,152,Resident,71
233,2021,E02001335,2021 super output areas - middle layer,152,Resident:Male,37
234,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
235,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
236,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
237,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,4
238,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,11
239,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,12
240,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,4
241,2021,E02001335,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,6
242,2021,E02001335,2021 super output areas - middle layer,152,Resident:Female,34
243,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
244,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
245,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,1
246,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,2
247,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,6
248,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,11
249,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,9
250,2021,E02001335,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,5
251,2021,E02001335,2021 super output areas - middle layer,152,Staff or owner,0
252,2021,E02001335,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
253,2021,E02001335,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
254,2021,E02001336,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,79
255,2021,E02001336,2021 super output areas - middle layer,152,Resident,79
256,2021,E02001336,2021 super output areas - middle layer,152,Resident:Male,32
257,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
258,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
259,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
260,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
261,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,8
262,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,5
263,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,15
264,2021,E02001336,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,4
265,2021,E02001336,2021 super output areas - middle layer,152,Resident:Female,47
266,2021,E02001336,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
267,2021,E02001336,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
268,2021,E02001336,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,1
