,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
99,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1589
100,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,819
101,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,368
102,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,38
103,2021,E02000159,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,8
104,2021,E02000160,2021 super output areas - middle layer,152,Total: All households,3039
105,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1320
106,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1020
107,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,626
108,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,65
109,2021,E02000160,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,8
110,2021,E02000161,2021 super output areas - middle layer,152,Total: All households,3345
111,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1600
112,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1172
113,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,516
114,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,50
115,2021,E02000161,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,7
116,2021,E02000162,2021 super output areas - middle layer,152,Total: All households,2964
117,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1155
118,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1007
119,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,721
120,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,73
121,2021,E02000162,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,8
122,2021,E02000163,2021 super output areas - middle layer,152,Total: All households,3071
123,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1659
124,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,911
125,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,443
126,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,47
127,2021,E02000163,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,11
128,2021,E02000165,2021 super output areas - middle layer,152,Total: All households,2741
129,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1295
130,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,918
131,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,469
132,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,53
133,2021,E02000165,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,6
134,2021,E02006782,2021 super output areas - middle layer,152,Total: All households,3196
135,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1242
136,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,928
137,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,837
138,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,161
139,2021,E02006782,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,28
140,2021,E02006787,2021 super output areas - middle layer,152,Total: All households,3089
141,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1281
142,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,957
143,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,727
144,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,109
145,2021,E02006787,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,15
146,2021,E02006789,2021 super output areas - middle layer,152,Total: All households,2788
147,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1333
148,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,883
149,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,495
150,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,65
151,2021,E02006789,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,12
152,2021,E02000166,2021 super output areas - middle layer,152,Total: All households,3396
153,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,912
154,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,817
155,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1410
156,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,205
157,2021,E02000166,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,52
158,2021,E02000167,2021 super output areas - middle layer,152,Total: All households,3373
159,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1010
160,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1074
161,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1199
162,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,74
163,2021,E02000167,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,16
164,2021,E02000168,2021 super output areas - middle layer,152,Total: All households,3494
165,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,679
166,2021,E02000168,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,925
