,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
124,2021,E02002527,2021 super output areas - middle layer,152,Student,978
125,2021,E02002527,2021 super output areas - middle layer,152,Not a student,3775
126,2021,E02002529,2021 super output areas - middle layer,152,Total,5448
127,2021,E02002529,2021 super output areas - middle layer,152,Student,981
128,2021,E02002529,2021 super output areas - middle layer,152,Not a student,4467
129,2021,E02002530,2021 super output areas - middle layer,152,Total,5913
130,2021,E02002530,2021 super output areas - middle layer,152,Student,914
131,2021,E02002530,2021 super output areas - middle layer,152,Not a student,4999
132,2021,E02002532,2021 super output areas - middle layer,152,Total,6383
133,2021,E02002532,2021 super output areas - middle layer,152,Student,1106
134,2021,E02002532,2021 super output areas - middle layer,152,Not a student,5277
135,2021,E02002533,2021 super output areas - middle layer,152,Total,6269
136,2021,E02002533,2021 super output areas - middle layer,152,Student,1105
137,2021,E02002533,2021 super output areas - middle layer,152,Not a student,5164
138,2021,E02002534,2021 super output areas - middle layer,152,Total,5392
139,2021,E02002534,2021 super output areas - middle layer,152,Student,728
140,2021,E02002534,2021 super output areas - middle layer,152,Not a student,4664
141,2021,E02006812,2021 super output areas - middle layer,152,Total,7227
142,2021,E02006812,2021 super output areas - middle layer,152,Student,1340
143,2021,E02006812,2021 super output areas - middle layer,152,Not a student,5887
144,2021,E02006910,2021 super output areas - middle layer,152,Total,9997
145,2021,E02006910,2021 super output areas - middle layer,152,Student,1965
146,2021,E02006910,2021 super output areas - middle layer,152,Not a student,8032
147,2021,E02002535,2021 super output areas - middle layer,152,Total,8778
148,2021,E02002535,2021 super output areas - middle layer,152,Student,1426
149,2021,E02002535,2021 super output areas - middle layer,152,Not a student,7352
150,2021,E02002536,2021 super output areas - middle layer,152,Total,8847
151,2021,E02002536,2021 super output areas - middle layer,152,Student,1721
152,2021,E02002536,2021 super output areas - middle layer,152,Not a student,7126
153,2021,E02002537,2021 super output areas - middle layer,152,Total,7780
154,2021,E02002537,2021 super output areas - middle layer,152,Student,1710
155,2021,E02002537,2021 super output areas - middle layer,152,Not a student,6070
156,2021,E02002538,2021 super output areas - middle layer,152,Total,5354
157,2021,E02002538,2021 super output areas - middle layer,152,Student,1010
158,2021,E02002538,2021 super output areas - middle layer,152,Not a student,4344
159,2021,E02002539,2021 super output areas - middle layer,152,Total,10026
160,2021,E02002539,2021 super output areas - middle layer,152,Student,1827
161,2021,E02002539,2021 super output areas - middle layer,152,Not a student,8199
162,2021,E02002540,2021 super output areas - middle layer,152,Total,5809
163,2021,E02002540,2021 super output areas - middle layer,152,Student,859
164,2021,E02002540,2021 super output areas - middle layer,152,Not a student,4950
165,2021,E02002541,2021 super output areas - middle layer,152,Total,5730
166,2021,E02002541,2021 super output areas - middle layer,152,Student,941
167,2021,E02002541,2021 super output areas - middle layer,152,Not a student,4789
168,2021,E02002542,2021 super output areas - middle layer,152,Total,7550
169,2021,E02002542,2021 super output areas - middle layer,152,Student,1663
170,2021,E02002542,2021 super output areas - middle layer,152,Not a student,5887
171,2021,E02002543,2021 super output areas - middle layer,152,Total,8578
172,2021,E02002543,2021 super output areas - middle layer,152,Student,2007
173,2021,E02002543,2021 super output areas - middle layer,152,Not a student,6571
174,2021,E02002544,2021 super output areas - middle layer,152,Total,8475
175,2021,E02002544,2021 super output areas - middle layer,152,Student,1425
176,2021,E02002544,2021 super output areas - middle layer,152,Not a student,7050
177,2021,E02002545,2021 super output areas - middle layer,152,Total,4812
178,2021,E02002545,2021 super output areas - middle layer,152,Student,723
179,2021,E02002545,2021 super output areas - middle layer,152,Not a student,4089
180,2021,E02002546,2021 super output areas - middle layer,152,Total,6992
181,2021,E02002546,2021 super output areas - middle layer,152,Student,1598
182,2021,E02002546,2021 super output areas - middle layer,152,Not a student,5394
183,2021,E02002547,2021 super output areas - middle layer,152,Total,5848
184,2021,E02002547,2021 super output areas - middle layer,152,Student,942
185,2021,E02002547,2021 super output areas - middle layer,152,Not a student,4906
186,2021,E02002549,2021 super output areas - middle layer,152,Total,7154
187,2021,E02002549,2021 super output areas - middle layer,152,Student,1151
188,2021,E02002549,2021 super output areas - middle layer,152,Not a student,6003
189,2021,E02002550,2021 super output areas - middle layer,152,Total,5731
190,2021,E02002550,2021 super output areas - middle layer,152,Student,1051
191,2021,E02002550,2021 super output areas - middle layer,152,Not a student,4680
192,2021,E02002551,2021 super output areas - middle layer,152,Total,5042
193,2021,E02002551,2021 super output areas - middle layer,152,Student,1011
194,2021,E02002551,2021 super output areas - middle layer,152,Not a student,4031
195,2021,E02002552,2021 super output areas - middle layer,152,Total,6733
196,2021,E02002552,2021 super output areas - middle layer,152,Student,1546
197,2021,E02002552,2021 super output areas - middle layer,152,Not a student,5187
198,2021,E02002553,2021 super output areas - middle layer,152,Total,5487
199,2021,E02002553,2021 super output areas - middle layer,152,Student,1114
200,2021,E02002553,2021 super output areas - middle layer,152,Not a student,4373
201,2021,E02002554,2021 super output areas - middle layer,152,Total,4790
202,2021,E02002554,2021 super output areas - middle layer,152,Student,901
203,2021,E02002554,2021 super output areas - middle layer,152,Not a student,3889
204,2021,E02002555,2021 super output areas - middle layer,152,Total,9837
205,2021,E02002555,2021 super output areas - middle layer,152,Student,2064
206,2021,E02002555,2021 super output areas - middle layer,152,Not a student,7773
207,2021,E02002556,2021 super output areas - middle layer,152,Total,6941
208,2021,E02002556,2021 super output areas - middle layer,152,Student,1314
209,2021,E02002556,2021 super output areas - middle layer,152,Not a student,5627
210,2021,E02002558,2021 super output areas - middle layer,152,Total,10516
211,2021,E02002558,2021 super output areas - middle layer,152,Student,1774
212,2021,E02002558,2021 super output areas - middle layer,152,Not a student,8742
213,2021,E02007060,2021 super output areas - middle layer,152,Total,5588
214,2021,E02007060,2021 super output areas - middle layer,152,Student,1144
215,2021,E02007060,2021 super output areas - middle layer,152,Not a student,4444
216,2021,E02007061,2021 super output areas - middle layer,152,Total,7696
217,2021,E02007061,2021 super output areas - middle layer,152,Student,2074
218,2021,E02007061,2021 super output areas - middle layer,152,Not a student,5622
219,2021,E02007062,2021 super output areas - middle layer,152,Total,7114
220,2021,E02007062,2021 super output areas - middle layer,152,Student,1992
221,2021,E02007062,2021 super output areas - middle layer,152,Not a student,5122
222,2021,E02007063,2021 super output areas - middle layer,152,Total,8658
223,2021,E02007063,2021 super output areas - middle layer,152,Student,2328
224,2021,E02007063,2021 super output areas - middle layer,152,Not a student,6330
225,2021,E02002559,2021 super output areas - middle layer,152,Total,9197
226,2021,E02002559,2021 super output areas - middle layer,152,Student,1718
227,2021,E02002559,2021 super output areas - middle layer,152,Not a student,7479
228,2021,E02002560,2021 super output areas - middle layer,152,Total,5941
229,2021,E02002560,2021 super output areas - middle layer,152,Student,1181
230,2021,E02002560,2021 super output areas - middle layer,152,Not a student,4760
231,2021,E02002561,2021 super output areas - middle layer,152,Total,5216
232,2021,E02002561,2021 super output areas - middle layer,152,Student,817
233,2021,E02002561,2021 super output areas - middle layer,152,Not a student,4399
234,2021,E02002562,2021 super output areas - middle layer,152,Total,5319
235,2021,E02002562,2021 super output areas - middle layer,152,Student,896
236,2021,E02002562,2021 super output areas - middle layer,152,Not a student,4423
237,2021,E02002563,2021 super output areas - middle layer,152,Total,5318
238,2021,E02002563,2021 super output areas - middle layer,152,Student,908
239,2021,E02002563,2021 super output areas - middle layer,152,Not a student,4410
240,2021,E02002564,2021 super output areas - middle layer,152,Total,9197
241,2021,E02002564,2021 super output areas - middle layer,152,Student,1840
242,2021,E02002564,2021 super output areas - middle layer,152,Not a student,7357
243,2021,E02002567,2021 super output areas - middle layer,152,Total,8721
244,2021,E02002567,2021 super output areas - middle layer,152,Student,1864
245,2021,E02002567,2021 super output areas - middle layer,152,Not a student,6857
246,2021,E02002568,2021 super output areas - middle layer,152,Total,5817
247,2021,E02002568,2021 super output areas - middle layer,152,Student,1085
248,2021,E02002568,2021 super output areas - middle layer,152,Not a student,4732
249,2021,E02002569,2021 super output areas - middle layer,152,Total,8822
250,2021,E02002569,2021 super output areas - middle layer,152,Student,1441
251,2021,E02002569,2021 super output areas - middle layer,152,Not a student,7381
252,2021,E02002570,2021 super output areas - middle layer,152,Total,7126
253,2021,E02002570,2021 super output areas - middle layer,152,Student,1181
254,2021,E02002570,2021 super output areas - middle layer,152,Not a student,5945
255,2021,E02002571,2021 super output areas - middle layer,152,Total,5927
256,2021,E02002571,2021 super output areas - middle layer,152,Student,1222
257,2021,E02002571,2021 super output areas - middle layer,152,Not a student,4705
258,2021,E02002572,2021 super output areas - middle layer,152,Total,5891
259,2021,E02002572,2021 super output areas - middle layer,152,Student,1281
260,2021,E02002572,2021 super output areas - middle layer,152,Not a student,4610
261,2021,E02002573,2021 super output areas - middle layer,152,Total,8944
262,2021,E02002573,2021 super output areas - middle layer,152,Student,1638
263,2021,E02002573,2021 super output areas - middle layer,152,Not a student,7306
264,2021,E02007058,2021 super output areas - middle layer,152,Total,10868
265,2021,E02007058,2021 super output areas - middle layer,152,Student,1741
266,2021,E02007058,2021 super output areas - middle layer,152,Not a student,9127
267,2021,E02004290,2021 super output areas - middle layer,152,Total,5499
268,2021,E02004290,2021 super output areas - middle layer,152,Student,817
269,2021,E02004290,2021 super output areas - middle layer,152,Not a student,4682
270,2021,E02004291,2021 super output areas - middle layer,152,Total,6740
271,2021,E02004291,2021 super output areas - middle layer,152,Student,1152
272,2021,E02004291,2021 super output areas - middle layer,152,Not a student,5588
273,2021,E02004292,2021 super output areas - middle layer,152,Total,7633
274,2021,E02004292,2021 super output areas - middle layer,152,Student,1194
275,2021,E02004292,2021 super output areas - middle layer,152,Not a student,6439
