,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
158,2021,E02005893,2021 super output areas - middle layer,152,Other,53
159,2021,E02005893,2021 super output areas - middle layer,152,Second address type not specified,0
160,2021,E02005894,2021 super output areas - middle layer,152,Total: All usual residents,424
161,2021,E02005894,2021 super output areas - middle layer,152,Armed forces base address,23
162,2021,E02005894,2021 super output areas - middle layer,152,Another address when working away from home,33
163,2021,E02005894,2021 super output areas - middle layer,152,Holiday home,61
164,2021,E02005894,2021 super output areas - middle layer,152,Student's term-time address,3
165,2021,E02005894,2021 super output areas - middle layer,152,Student's home address,5
166,2021,E02005894,2021 super output areas - middle layer,152,Another parent or guardian's address,212
167,2021,E02005894,2021 super output areas - middle layer,152,Partner's address,33
168,2021,E02005894,2021 super output areas - middle layer,152,Other,54
169,2021,E02005894,2021 super output areas - middle layer,152,Second address type not specified,0
170,2021,E02005895,2021 super output areas - middle layer,152,Total: All usual residents,289
171,2021,E02005895,2021 super output areas - middle layer,152,Armed forces base address,6
172,2021,E02005895,2021 super output areas - middle layer,152,Another address when working away from home,28
173,2021,E02005895,2021 super output areas - middle layer,152,Holiday home,81
174,2021,E02005895,2021 super output areas - middle layer,152,Student's term-time address,1
175,2021,E02005895,2021 super output areas - middle layer,152,Student's home address,11
176,2021,E02005895,2021 super output areas - middle layer,152,Another parent or guardian's address,77
177,2021,E02005895,2021 super output areas - middle layer,152,Partner's address,24
178,2021,E02005895,2021 super output areas - middle layer,152,Other,61
179,2021,E02005895,2021 super output areas - middle layer,152,Second address type not specified,0
180,2021,E02005896,2021 super output areas - middle layer,152,Total: All usual residents,304
181,2021,E02005896,2021 super output areas - middle layer,152,Armed forces base address,14
182,2021,E02005896,2021 super output areas - middle layer,152,Another address when working away from home,24
183,2021,E02005896,2021 super output areas - middle layer,152,Holiday home,76
184,2021,E02005896,2021 super output areas - middle layer,152,Student's term-time address,4
185,2021,E02005896,2021 super output areas - middle layer,152,Student's home address,1
186,2021,E02005896,2021 super output areas - middle layer,152,Another parent or guardian's address,113
187,2021,E02005896,2021 super output areas - middle layer,152,Partner's address,29
188,2021,E02005896,2021 super output areas - middle layer,152,Other,43
189,2021,E02005896,2021 super output areas - middle layer,152,Second address type not specified,0
190,2021,E02005897,2021 super output areas - middle layer,152,Total: All usual residents,356
