,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
115,2021,E02004788,2021 super output areas - middle layer,152,Terraced,239
116,2021,E02004788,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,89
117,2021,E02004788,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",18
118,2021,E02004788,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",11
119,2021,E02004788,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",8
120,2021,E02004788,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,89
121,2021,E02004789,2021 super output areas - middle layer,152,Total,4376
122,2021,E02004789,2021 super output areas - middle layer,152,Detached,1392
123,2021,E02004789,2021 super output areas - middle layer,152,Semi-detached,1499
124,2021,E02004789,2021 super output areas - middle layer,152,Terraced,916
125,2021,E02004789,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,514
126,2021,E02004789,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",18
127,2021,E02004789,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",6
128,2021,E02004789,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",23
129,2021,E02004789,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,8
130,2021,E02004790,2021 super output areas - middle layer,152,Total,3694
131,2021,E02004790,2021 super output areas - middle layer,152,Detached,947
132,2021,E02004790,2021 super output areas - middle layer,152,Semi-detached,1126
133,2021,E02004790,2021 super output areas - middle layer,152,Terraced,658
134,2021,E02004790,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,716
135,2021,E02004790,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",69
136,2021,E02004790,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",38
137,2021,E02004790,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",61
138,2021,E02004790,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,79
139,2021,E02004791,2021 super output areas - middle layer,152,Total,2227
140,2021,E02004791,2021 super output areas - middle layer,152,Detached,616
141,2021,E02004791,2021 super output areas - middle layer,152,Semi-detached,890
142,2021,E02004791,2021 super output areas - middle layer,152,Terraced,568
143,2021,E02004791,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,134
144,2021,E02004791,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",6
145,2021,E02004791,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",1
146,2021,E02004791,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",12
147,2021,E02004791,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
148,2021,E02004792,2021 super output areas - middle layer,152,Total,3750
149,2021,E02004792,2021 super output areas - middle layer,152,Detached,2089
150,2021,E02004792,2021 super output areas - middle layer,152,Semi-detached,817
151,2021,E02004792,2021 super output areas - middle layer,152,Terraced,458
152,2021,E02004792,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,141
153,2021,E02004792,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",30
154,2021,E02004792,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",19
155,2021,E02004792,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",33
156,2021,E02004792,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,163
157,2021,E02004793,2021 super output areas - middle layer,152,Total,3099
158,2021,E02004793,2021 super output areas - middle layer,152,Detached,2017
159,2021,E02004793,2021 super output areas - middle layer,152,Semi-detached,598
160,2021,E02004793,2021 super output areas - middle layer,152,Terraced,188
161,2021,E02004793,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,137
162,2021,E02004793,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",67
163,2021,E02004793,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",36
164,2021,E02004793,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",29
165,2021,E02004793,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,27
166,2021,E02004794,2021 super output areas - middle layer,152,Total,2879
167,2021,E02004794,2021 super output areas - middle layer,152,Detached,1888
168,2021,E02004794,2021 super output areas - middle layer,152,Semi-detached,595
169,2021,E02004794,2021 super output areas - middle layer,152,Terraced,269
170,2021,E02004794,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,64
171,2021,E02004794,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",25
172,2021,E02004794,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",10
173,2021,E02004794,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",19
174,2021,E02004794,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,9
175,2021,E02004795,2021 super output areas - middle layer,152,Total,4074
176,2021,E02004795,2021 super output areas - middle layer,152,Detached,1672
177,2021,E02004795,2021 super output areas - middle layer,152,Semi-detached,899
178,2021,E02004795,2021 super output areas - middle layer,152,Terraced,556
179,2021,E02004795,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,683
180,2021,E02004795,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",93
181,2021,E02004795,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",54
182,2021,E02004795,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",93
183,2021,E02004795,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,24
184,2021,E02004796,2021 super output areas - middle layer,152,Total,4312
185,2021,E02004796,2021 super output areas - middle layer,152,Detached,2713
186,2021,E02004796,2021 super output areas - middle layer,152,Semi-detached,823
187,2021,E02004796,2021 super output areas - middle layer,152,Terraced,344
188,2021,E02004796,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,98
189,2021,E02004796,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",26
190,2021,E02004796,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",12
191,2021,E02004796,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",15
192,2021,E02004796,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,281
193,2021,E02004797,2021 super output areas - middle layer,152,Total,3668
194,2021,E02004797,2021 super output areas - middle layer,152,Detached,1088
195,2021,E02004797,2021 super output areas - middle layer,152,Semi-detached,1296
196,2021,E02004797,2021 super output areas - middle layer,152,Terraced,739
197,2021,E02004797,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,470
198,2021,E02004797,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",40
199,2021,E02004797,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",24
200,2021,E02004797,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",10
201,2021,E02004797,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,1
202,2021,E02004798,2021 super output areas - middle layer,152,Total,2676
203,2021,E02004798,2021 super output areas - middle layer,152,Detached,730
204,2021,E02004798,2021 super output areas - middle layer,152,Semi-detached,741
205,2021,E02004798,2021 super output areas - middle layer,152,Terraced,623
206,2021,E02004798,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,526
207,2021,E02004798,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",34
208,2021,E02004798,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",8
209,2021,E02004798,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",8
210,2021,E02004798,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,6
211,2021,E02004799,2021 super output areas - middle layer,152,Total,3832
212,2021,E02004799,2021 super output areas - middle layer,152,Detached,1343
213,2021,E02004799,2021 super output areas - middle layer,152,Semi-detached,553
214,2021,E02004799,2021 super output areas - middle layer,152,Terraced,660
215,2021,E02004799,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,1105
216,2021,E02004799,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",25
217,2021,E02004799,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",18
218,2021,E02004799,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",116
219,2021,E02004799,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,12
220,2021,E02004800,2021 super output areas - middle layer,152,Total,3545
221,2021,E02004800,2021 super output areas - middle layer,152,Detached,2404
222,2021,E02004800,2021 super output areas - middle layer,152,Semi-detached,216
223,2021,E02004800,2021 super output areas - middle layer,152,Terraced,273
224,2021,E02004800,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,448
225,2021,E02004800,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",50
226,2021,E02004800,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",21
227,2021,E02004800,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",20
228,2021,E02004800,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,113
229,2021,E02004801,2021 super output areas - middle layer,152,Total,3746
230,2021,E02004801,2021 super output areas - middle layer,152,Detached,2081
231,2021,E02004801,2021 super output areas - middle layer,152,Semi-detached,570
232,2021,E02004801,2021 super output areas - middle layer,152,Terraced,383
233,2021,E02004801,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,570
234,2021,E02004801,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",42
235,2021,E02004801,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",18
236,2021,E02004801,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",42
237,2021,E02004801,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,40
238,2021,E02004802,2021 super output areas - middle layer,152,Total,2547
239,2021,E02004802,2021 super output areas - middle layer,152,Detached,330
240,2021,E02004802,2021 super output areas - middle layer,152,Semi-detached,1032
