,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
199,2001,E02002492,2001 super output areas - middle layer,305,Elsewhere,40
200,2001,E02002493,2001 super output areas - middle layer,305,All people,6018
201,2001,E02002493,2001 super output areas - middle layer,305,England,5826
202,2001,E02002493,2001 super output areas - middle layer,305,Scotland,72
203,2001,E02002493,2001 super output areas - middle layer,305,Wales,19
204,2001,E02002493,2001 super output areas - middle layer,305,Northern Ireland,13
205,2001,E02002493,2001 super output areas - middle layer,305,Republic of Ireland,15
206,2001,E02002493,2001 super output areas - middle layer,305,Other EU countries,23
207,2001,E02002493,2001 super output areas - middle layer,305,Elsewhere,50
208,2001,E02002494,2001 super output areas - middle layer,305,All people,7904
209,2001,E02002494,2001 super output areas - middle layer,305,England,7689
210,2001,E02002494,2001 super output areas - middle layer,305,Scotland,59
211,2001,E02002494,2001 super output areas - middle layer,305,Wales,34
212,2001,E02002494,2001 super output areas - middle layer,305,Northern Ireland,13
213,2001,E02002494,2001 super output areas - middle layer,305,Republic of Ireland,11
214,2001,E02002494,2001 super output areas - middle layer,305,Other EU countries,35
215,2001,E02002494,2001 super output areas - middle layer,305,Elsewhere,63
216,2001,E02002495,2001 super output areas - middle layer,305,All people,5258
217,2001,E02002495,2001 super output areas - middle layer,305,England,5119
218,2001,E02002495,2001 super output areas - middle layer,305,Scotland,55
219,2001,E02002495,2001 super output areas - middle layer,305,Wales,20
220,2001,E02002495,2001 super output areas - middle layer,305,Northern Ireland,7
221,2001,E02002495,2001 super output areas - middle layer,305,Republic of Ireland,9
222,2001,E02002495,2001 super output areas - middle layer,305,Other EU countries,18
223,2001,E02002495,2001 super output areas - middle layer,305,Elsewhere,30
224,2001,E02002496,2001 super output areas - middle layer,305,All people,9726
225,2001,E02002496,2001 super output areas - middle layer,305,England,7883
226,2001,E02002496,2001 super output areas - middle layer,305,Scotland,135
227,2001,E02002496,2001 super output areas - middle layer,305,Wales,52
228,2001,E02002496,2001 super output areas - middle layer,305,Northern Ireland,73
229,2001,E02002496,2001 super output areas - middle layer,305,Republic of Ireland,63
230,2001,E02002496,2001 super output areas - middle layer,305,Other EU countries,164
231,2001,E02002496,2001 super output areas - middle layer,305,Elsewhere,1356
232,2001,E02002497,2001 super output areas - middle layer,305,All people,6533
233,2001,E02002497,2001 super output areas - middle layer,305,England,6302
234,2001,E02002497,2001 super output areas - middle layer,305,Scotland,70
235,2001,E02002497,2001 super output areas - middle layer,305,Wales,17
236,2001,E02002497,2001 super output areas - middle layer,305,Northern Ireland,21
237,2001,E02002497,2001 super output areas - middle layer,305,Republic of Ireland,23
238,2001,E02002497,2001 super output areas - middle layer,305,Other EU countries,30
239,2001,E02002497,2001 super output areas - middle layer,305,Elsewhere,70
240,2001,E02002498,2001 super output areas - middle layer,305,All people,8768
241,2001,E02002498,2001 super output areas - middle layer,305,England,7622
242,2001,E02002498,2001 super output areas - middle layer,305,Scotland,132
243,2001,E02002498,2001 super output areas - middle layer,305,Wales,47
244,2001,E02002498,2001 super output areas - middle layer,305,Northern Ireland,60
245,2001,E02002498,2001 super output areas - middle layer,305,Republic of Ireland,44
246,2001,E02002498,2001 super output areas - middle layer,305,Other EU countries,143
247,2001,E02002498,2001 super output areas - middle layer,305,Elsewhere,720
248,2001,E02002499,2001 super output areas - middle layer,305,All people,7428
249,2001,E02002499,2001 super output areas - middle layer,305,England,7235
250,2001,E02002499,2001 super output areas - middle layer,305,Scotland,66
251,2001,E02002499,2001 super output areas - middle layer,305,Wales,24
252,2001,E02002499,2001 super output areas - middle layer,305,Northern Ireland,15
253,2001,E02002499,2001 super output areas - middle layer,305,Republic of Ireland,17
254,2001,E02002499,2001 super output areas - middle layer,305,Other EU countries,31
255,2001,E02002499,2001 super output areas - middle layer,305,Elsewhere,40
256,2001,E02002500,2001 super output areas - middle layer,305,All people,5549
257,2001,E02002500,2001 super output areas - middle layer,305,England,5097
258,2001,E02002500,2001 super output areas - middle layer,305,Scotland,77
259,2001,E02002500,2001 super output areas - middle layer,305,Wales,26
260,2001,E02002500,2001 super output areas - middle layer,305,Northern Ireland,28
261,2001,E02002500,2001 super output areas - middle layer,305,Republic of Ireland,30
262,2001,E02002500,2001 super output areas - middle layer,305,Other EU countries,37
263,2001,E02002500,2001 super output areas - middle layer,305,Elsewhere,254
264,2001,E02002501,2001 super output areas - middle layer,305,All people,5706
265,2001,E02002501,2001 super output areas - middle layer,305,England,5430
266,2001,E02002501,2001 super output areas - middle layer,305,Scotland,78
267,2001,E02002501,2001 super output areas - middle layer,305,Wales,19
268,2001,E02002501,2001 super output areas - middle layer,305,Northern Ireland,25
269,2001,E02002501,2001 super output areas - middle layer,305,Republic of Ireland,20
270,2001,E02002501,2001 super output areas - middle layer,305,Other EU countries,34
271,2001,E02002501,2001 super output areas - middle layer,305,Elsewhere,100
