,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
81,2001,E02005900,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,59
82,2001,E02005900,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,8
83,2001,E02005900,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1608
84,2001,E02005900,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,725
85,2001,E02005900,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,275
86,2001,E02005900,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",152
87,2001,E02005900,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",72
88,2001,E02005900,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",32
89,2001,E02005900,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
90,2001,E02005901,2001 super output areas - middle layer,305,All household spaces - with residents,3282
91,2001,E02005901,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,159
92,2001,E02005901,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,8
93,2001,E02005901,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,858
94,2001,E02005901,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1205
95,2001,E02005901,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1005
96,2001,E02005901,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",229
97,2001,E02005901,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",113
98,2001,E02005901,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",37
99,2001,E02005901,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
100,2001,E02005902,2001 super output areas - middle layer,305,All household spaces - with residents,3357
101,2001,E02005902,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,57
102,2001,E02005902,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,0
103,2001,E02005902,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,741
104,2001,E02005902,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1535
105,2001,E02005902,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,614
106,2001,E02005902,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",500
107,2001,E02005902,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",13
108,2001,E02005902,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",10
109,2001,E02005902,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,3
110,2001,E02005903,2001 super output areas - middle layer,305,All household spaces - with residents,4232
111,2001,E02005903,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,126
112,2001,E02005903,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,4
113,2001,E02005903,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1417
114,2001,E02005903,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1894
