,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
5401,E02005527,0.17881944444444445,0.05625,0.12256944444444444,0.22465277777777778,0.06701388888888889,0.1736111111111111,0.08888888888888889,0.08576388888888889,0.09166666666666666,0.034027777777777775,2880.0,0.024305555555555556,0.009722222222222222,0.05555555555555555
5402,E02005528,0.13467237405334212,0.032268686203490285,0.10240368784985182,0.21172209417188015,0.09417188014487982,0.1333552848205466,0.11853803095159697,0.11491603556140928,0.1261112940401712,0.01975633849193283,3037.0,0.009548896937767533,0.010207441554165295,0.046756667764241026
5403,E02005529,0.08546168958742632,0.025540275049115914,0.05992141453831041,0.17141453831041256,0.07465618860510806,0.15667976424361493,0.13801571709233793,0.12721021611001965,0.17239685658153242,0.022593320235756387,2036.0,0.012278978388998035,0.01031434184675835,0.05157170923379175
5404,E02005530,0.098256735340729,0.024300052826201797,0.07395668251452721,0.17960908610670892,0.08293713681986266,0.16217643951399893,0.1415742208135235,0.10776545166402536,0.15795034337031166,0.02324352879027998,1893.0,0.014791336502905442,0.008452192287374538,0.04648705758055996
5405,E02005531,0.10167768174885612,0.026436197254702594,0.07524148449415353,0.17691916624300966,0.08185053380782918,0.16319267920691408,0.12302999491611591,0.13218098627351296,0.13828164717844432,0.02541942043721403,1967.0,0.0157600406710727,0.009659379766141332,0.057447890188103715
5406,E02005532,0.0967741935483871,0.021505376344086023,0.07526881720430108,0.17483074472321783,0.09398645957785742,0.15452011150935882,0.13620071684587814,0.1306252489048188,0.15013938669852647,0.021107128634010354,2511.0,0.013540422142572681,0.007566706491437674,0.04181600955794504
5407,E02005533,0.16434634974533108,0.042784380305602714,0.12156196943972836,0.2169779286926995,0.06485568760611206,0.17826825127334464,0.10288624787775891,0.099830220713073,0.10390492359932088,0.023429541595925297,2945.0,0.011544991511035654,0.011884550084889643,0.04550084889643464
5408,E02005534,0.12415169660678643,0.03792415169660679,0.08622754491017964,0.21117764471057884,0.08103792415169661,0.14171656686626746,0.1285429141716567,0.11936127744510978,0.12255489021956088,0.019161676646706587,2505.0,0.009580838323353293,0.009580838323353293,0.05229540918163673
5409,E02005535,0.20377503852080123,0.045454545454545456,0.15832049306625579,0.2542372881355932,0.0812788906009245,0.12134052388289676,0.08166409861325115,0.0901386748844376,0.0812788906009245,0.028120184899845916,2596.0,0.017719568567026195,0.010400616332819723,0.05816640986132512
5410,E02005536,0.15878378378378377,0.03137065637065637,0.1274131274131274,0.23696911196911197,0.0583976833976834,0.1694015444015444,0.10231660231660232,0.10183397683397684,0.09362934362934362,0.026544401544401543,2072.0,0.012548262548262547,0.013996138996138996,0.052123552123552123
5411,E02005537,0.12300469483568074,0.029577464788732393,0.09342723004694836,0.21549295774647886,0.07183098591549296,0.17089201877934274,0.12253521126760564,0.10375586854460093,0.11924882629107982,0.0215962441314554,2130.0,0.013145539906103286,0.008450704225352112,0.051643192488262914
5412,E02005538,0.09307948020550015,0.028105167724388033,0.06497431248111211,0.1813236627379873,0.06376548806285887,0.20822000604412208,0.1193714113025083,0.11060743427017226,0.13327289211242066,0.03566032033847084,3309.0,0.020247809005741916,0.015412511332728921,0.05469930492595951
5413,E02005539,0.09786154403769481,0.027546212395795577,0.07031533164189924,0.2015222906850308,0.05799202609641174,0.20405944182674882,0.10728524827836172,0.11272200072490032,0.1402682131206959,0.030445813700616164,2759.0,0.01812250815512867,0.012323305545487495,0.04784342152953969
5414,E02005540,0.07399313143927568,0.021542304089915705,0.05245082734935998,0.17171401810802372,0.061192631907586635,0.1660942866063066,0.1333125195129566,0.12394630034342803,0.1776459569153918,0.03777708398376522,3203.0,0.019981267561660944,0.017795816422104278,0.05432407118326569
5415,E02005541,0.04384724186704385,0.011786892975011787,0.03206034889203206,0.13012729844413012,0.04950495049504951,0.13814238566713813,0.12446958981612447,0.17114568599717114,0.19896275341819897,0.06836397925506836,2121.0,0.034417727487034415,0.033946251768033946,0.07543611504007544
5416,E02005542,0.03492063492063492,0.009523809523809525,0.025396825396825397,0.11031746031746031,0.046031746031746035,0.125,0.1388888888888889,0.19365079365079366,0.20515873015873015,0.08333333333333333,2520.0,0.03214285714285714,0.05119047619047619,0.0626984126984127
5417,E02005543,0.03133556434438698,0.0069972619409796166,0.024338302403407362,0.08883480377243687,0.04289625798600548,0.11195619105567386,0.12321265591724977,0.2029205962884089,0.20748402798904778,0.12473379981746273,3287.0,0.06388804380894432,0.06084575600851841,0.06662610282932765
5418,E02005544,0.03646237393328161,0.011636927851047323,0.02482544608223429,0.11249030256012413,0.056245151280062064,0.104344453064391,0.14546159813809154,0.17377812257564004,0.2125678820791311,0.08727695888285493,2578.0,0.041117145073700546,0.04615981380915438,0.07137315748642359
5419,E02005545,0.0953619419159081,0.03424360641525791,0.0611183355006502,0.1907238838318162,0.07628955353272648,0.13610749891634158,0.16038144776766364,0.1222366710013004,0.14130905938448202,0.021239705244906804,2307.0,0.014737754659731253,0.006501950585175552,0.05635023840485479
5420,E02005546,0.0527266161068978,0.015167930660888408,0.03755868544600939,0.13145539906103287,0.05742145178764897,0.11664860960635609,0.13903936439147707,0.1646803900325027,0.2148790176959191,0.06464427591188154,2769.0,0.03178042614662333,0.03286384976525822,0.05850487540628386
5421,E02005547,0.11368688472530962,0.024769768180374723,0.0889171165449349,0.18005716100349317,0.0619244204509368,0.1302000635122261,0.12257859637980312,0.1276595744680851,0.1444903143855192,0.05208002540489044,3149.0,0.024452207049857098,0.027627818355033345,0.06732295966973642
5422,E02005548,0.07619439868204284,0.016062602965403624,0.06013179571663921,0.13056013179571663,0.06466227347611203,0.10955518945634267,0.12520593080724876,0.15032948929159803,0.20922570016474465,0.06383855024711697,2428.0,0.03418451400329489,0.029654036243822075,0.07042833607907743
