,GEOGRAPHY_CODE,All categories: Usual residents by communal establishment management and type,All communal establishments,Establishment not stated,Medical and care establishment: Local Authority: Care home or other home,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Registered Social Landlord/Housing Association,Other establishments
5158,E02005589,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5159,E02005590,229.0,0.06986899563318777,0.0,0.05240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.21397379912663755,0.0,0.0,0.7336244541484717
5160,E02005592,83.0,0.1566265060240964,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5301204819277109,0.0,0.0,0.4457831325301205
5161,E02005593,3219.0,0.008698353525939733,0.00031065548306927616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012426219322771047,0.0,0.0,0.9986020503261882
5162,E02005594,114.0,0.08771929824561403,0.06140350877192982,0.38596491228070173,0.0,0.0,0.0,0.0,0.0,0.0,0.5350877192982456,0.0,0.0,0.04824561403508772
5163,E02005595,79.0,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.26582278481012656,0.43037974683544306,0.0,0.0,0.25316455696202533
5164,E02005596,42.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5165,E02005597,15.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
5166,E02005598,140.0,0.05714285714285714,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.22142857142857142,0.1357142857142857,0.0,0.0,0.6178571428571429
5167,E02005599,84.0,0.05952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.21428571428571427
5168,E02005600,755.0,0.010596026490066225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09271523178807947,0.0,0.0,0.9072847682119205
5169,E02005601,40.0,0.125,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.75,0.0,0.0,0.225
5170,E02005602,59.0,0.0847457627118644,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322033898305084,0.0,0.0,0.059322033898305086
5171,E02005603,51.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0196078431372549
5172,E02005604,157.0,0.050955414012738856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10828025477707007,0.31210191082802546,0.03184713375796178,0.06369426751592357,0.4840764331210191
5173,E02005605,121.0,0.04132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041322314049587,0.47107438016528924,0.0,0.0,0.024793388429752067
5174,E02005606,18.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3888888888888889,0.0,0.4444444444444444,0.0,0.0
5175,E02005607,53.0,0.09433962264150944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39622641509433965,0.5471698113207547,0.05660377358490566,0.0,0.0
5176,E02005608,83.0,0.0963855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12048192771084337,0.6506024096385542,0.0,0.0,0.2289156626506024
5177,E02005609,36.0,0.16666666666666666,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6944444444444444,0.0,0.0,0.041666666666666664
5178,E02005610,84.0,0.13095238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7142857142857143,0.0,0.0,0.11904761904761904
5179,E02005611,97.0,0.10309278350515463,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.28865979381443296,0.3711340206185567,0.25773195876288657,0.0,0.0,0.07216494845360824
5180,E02005612,43.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5181,E02005613,56.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.10714285714285714
5182,E02005614,86.0,0.13953488372093023,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.37209302325581395,0.37209302325581395,0.0,0.0,0.18604651162790697
5183,E02005615,11.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.36363636363636365,0.0,0.0,0.0
